time taiwan finland south_carolina total
1 556 832 832 2220
2 512 832 779 2123
3 532 768 784 2084
4 675 832 805 2312
5 585 768 832 2185
6 640 832 768 2240
7 660 778 832 2270
8 676 758 728 2162
9 648 799 808 2255
10 601 801 806 2208
11 635 815 794 2244
12 684 785 832 2301
13 640 768 704 2112
14 640 772 832 2244
15 660 828 792 2280
16 620 809 808 2237
17 640 791 817 2248
18 660 704 719 2083
19 663 794 768 2225
20 597 789 768 2154
21 640 785 782 2207
22 660 704 722 2086
23 620 779 800 2199
24 640 804 768 2212
25 640 704 704 2048
26 660 785 789 2234
27 620 768 778 2166
28 640 779 801 2220
29 649 740 704 2093
30 651 773 771 2195
31 620 780 768 2168
32 512 704 732 1948
33 0 467 481 948
34 0 476 448 924
35 0 465 451 916
36 0 448 448 896
37 0 448 486 934
38 0 488 448 936
39 0 455 471 926
40 0 465 451 916
41 0 448 448 896
42 0 461 466 927
43 0 475 468 943
44 0 455 448 903
45 512 721 776 2009
46 642 704 768 2114
47 768 768 719 2255
48 640 782 791 2213
49 640 737 768 2145
50 768 849 730 2347
51 640 704 768 2112
52 768 781 736 2285
53 691 738 768 2197
54 768 780 782 2330
55 640 773 767 2180
56 640 704 819 2163
57 768 780 704 2252
58 640 787 768 2195
59 640 737 782 2159
60 832 768 739 2339
61 640 768 783 2191
62 653 787 768 2208
63 768 802 704 2274
64 640 715 789 2144
65 768 768 796 2332
66 640 768 777 2185
67 640 723 774 2137
68 785 809 705 2299
69 674 705 801 2180
70 768 771 724 2263
71 640 768 773 2181
72 640 787 774 2201
73 768 809 704 2281
74 640 708 771 2119
75 643 768 800 2211
76 801 774 728 2303
77 681 736 809 2226
78 768 793 732 2293
79 640 769 771 2180
80 640 704 811 2155
81 768 786 717 2271
82 640 788 773 2201
83 640 794 768 2202
84 819 768 715 2302
85 640 704 795 2139
86 768 787 794 2349
87 640 799 768 2207
88 640 718 768 2126
89 768 768 732 2268
90 640 769 786 2195
91 676 790 781 2247
92 809 745 736 2290
93 640 768 771 2179
94 768 768 739 2275
95 640 705 768 2113
96 768 805 789 2362
97 640 783 773 2196
98 640 715 775 2130
99 819 769 735 2323
100 640 786 768 2194
