time taiwan finland south_carolina total
1 684 265 384 1333
2 680 299 320 1299
3 684 294 324 1302
4 698 256 380 1334
5 666 256 320 1242
6 727 256 384 1367
7 681 256 320 1257
8 684 258 336 1278
9 684 299 368 1351
10 680 292 320 1292
11 684 274 384 1342
12 698 284 320 1302
13 690 257 349 1296
14 704 256 355 1315
15 680 256 320 1256
16 684 256 384 1324
17 697 258 320 1275
18 667 299 354 1320
19 684 291 350 1325
20 717 279 320 1316
21 691 280 384 1355
22 684 257 320 1261
23 680 256 356 1292
24 684 256 348 1288
25 698 257 320 1275
26 667 266 384 1317
27 706 292 320 1318
28 701 298 356 1355
29 684 285 348 1317
30 685 265 320 1270
31 679 256 384 1319
32 512 249 256 1017
33 0 0 0 0
34 0 0 0 0
35 0 0 0 0
36 0 0 0 0
37 0 0 0 0
38 0 0 0 0
39 0 0 0 0
40 128 0 128 256
41 0 128 0 128
42 0 0 0 0
43 0 0 0 0
44 384 384 768 1536
45 384 512 1026 1922
46 384 512 1024 1920
47 384 512 1027 1923
48 384 512 1024 1920
49 512 512 1025 2049
50 384 512 1024 1920
51 384 512 1019 1915
52 384 512 1024 1920
53 512 512 1024 2048
54 384 512 1024 1920
55 384 512 1024 1920
56 384 512 1024 1920
57 495 512 1024 2031
58 401 512 1024 1937
59 384 512 1024 1920
60 384 535 1026 1945
61 384 512 1029 1925
62 512 512 1025 2049
63 384 512 1031 1927
64 384 513 1024 1921
65 384 530 1024 1938
66 512 530 1016 2058
67 384 507 1032 1923
68 384 526 1033 1943
69 384 524 1024 1932
70 472 517 1024 2013
71 424 512 1024 1960
72 384 512 1024 1920
73 384 512 1024 1920
74 384 512 1024 1920
75 512 512 1024 2048
76 384 512 1024 1920
77 384 512 1024 1920
78 384 512 1024 1920
79 512 512 1024 2048
80 384 512 1024 1920
81 384 512 1024 1920
82 384 512 1024 1920
83 466 512 1024 2002
84 430 512 1024 1966
85 384 512 1024 1920
86 384 512 1024 1920
87 384 512 1024 1920
88 512 512 1024 2048
89 384 512 1024 1920
90 384 512 1024 1920
91 384 512 1024 1920
92 512 512 1024 2048
93 384 512 1024 1920
94 384 512 1024 1920
95 384 512 1024 1920
96 405 512 1024 1941
97 491 512 1024 2027
98 384 512 1024 1920
99 384 512 1024 1920
100 384 512 1024 1920
